ucid,docket_text,labels
akd;;5:17-cv-00007,"Notice to Counsel re A review of the document submitted at dkt 17 confirms that it is over 25 pages in length. If a CHAMBERS copy of the document has not been forwarded to the Court, counsel is reminded that, pursuant to D.Ak.LR 10.1(b) and the Administrative Policies and Procedures, you are required to provide the court with a CHAMBERS copy of your filing at dkt 17. The CHAMBERS copy must be attached to a copy of the Notice of Electronic Filing and must be printed with the ECF pdf footer on each page. (AEM, CHAMBERS STAFF) (Entered: 01/10/2018)",notice
akd;;3:16-cv-00222,"AMENDED MOTION for Leave to Proceed in forma pauperis by James Panoam.(PXS, COURT STAFF) (Entered: 11/15/2016)",motion|motion for leave|motion to proceed in forma pauperis
akd;;3:17-cr-00148,"RESPONSE to Motion (Non-Opposition) by USA as to Robert E. Baumgardner re 11 MOTION to Continue the Trial Date Notice of Non-Opposition (Webster, Autumn) (Entered: 02/01/2018)",response
almd;;1:17-cv-00230,"[VACATED PURSUANT TO COURT 9 ORDER.] ORDER REFERRING CASE to Magistrate Judge Honorable Judge Susan Russ Walker for further proceedings and determination or recommendation as may be appropriate. Signed by Chief Judge William Keith Watkins on 5/1/2017. (dmn, ) Modified on 5/3/2017 (dmn, ). (Entered: 05/01/2017)",error|order|vacated
almd;;2:17-cv-00605,"ANSWER to 1 Complaint, with Jury Demand by Casey Marie Wilkes.(Crow, Michael) (Entered: 10/05/2017)",answer
almd;;1:16-cv-00157,"ORDER granting 14 Motion for Voluntary Dismissal Without Prejudice, and all of Plf's claims against Dft Donald Andrew Proctor are DISMISSED without prejudice. Signed by Chief Judge William Keith Watkins on 7/11/2016. (wcl, ) (Entered: 07/11/2016)",case dismissed|dismiss without prejudice|granting motion to dismiss|order|party resolution|voluntary dismissal resolution|voluntary dismissal resolution2
almd;;3:17-cv-00089,"Return Receipt Card showing service of summons and complaint signed by Sahin Lalani for Sahin F. Lalani served on 3/6/2017, answer due 3/27/2017. (djy, ) (Entered: 03/08/2017)",
almd;;2:16-cv-00414,"Response to Order re 4 Order on Motion by James McConico, Jr.. (wcl, ) (Entered: 06/15/2016)",response
almd;;2:17-cv-00817,"(Stipulation of Dismissal) Interim MOTION to Dismiss by stipulation by Clarice Brown, Nancy T. Buckner, Johnny Howell, Shammyane Nettles, Eddie Smith, John Smith. (Gardella, Lawrence) Modified on 8/31/2018 to add as also filed on behalf of the Dft & to clarify the docket text (alm, ). (Entered: 08/31/2018)",bilateral|dismissing motion|motion|settlement resolution|stipulation|stipulation of dismissal
almd;;2:16-cv-00376,"JOINT STIPULATION of Dismissal by Contractors Steel Supply, Inc., Leo Davis. (dmn, ) (Entered: 08/24/2016)",bilateral|settlement resolution|stipulation|stipulation of dismissal
